Account,Amount,Part,"$7,800,000.00",Total USDC
0x86282513581c5295ab5157876e7687fc20dea071,415713290580770415,0.00346427742150642,$27021.36,27021.36
0x2f45724d7e384b38d5c97206e78470544304887f,406929570643481249,0.003391079755362340,$26450.42,26450.42
0x678fb21b9736e6c7da9f7d37a77ab766bb2519c7,404788472529745788,0.003373237271081210,$26311.25,26311.25
0x06fb3fd7a77274aa9ac0d2b0bc58a9ac9332d4ba,391591090427722703,0.003263259086897690,$25453.42,25453.42
0xd4f513a3a8db3ab5caa1a5b4c8ce812893b32760,389997855509201067,0.003249982129243340,$25349.86,25349.86
0xd30391e21741c54c32987bcfca3d880e6d261cb0,389877418797434064,0.003248978489978620,$25342.03,25342.03
0xa6fddb5c1bbee3c7189ed8996122b9ffba5a86ec,385527971314005811,0.003212733094283380,$25059.32,25059.32
0x1793cd5916cc6f5b20593e001a1cc3b66268da1f,368829953587141084,0.003073582946559510,$23973.95,23973.95
0xedf7b675a2fe3c27efb263fb4c204a3f0fb17d46,350444538129662054,0.002920371151080520,$22778.89,22778.89
0x7cb9ed2a2bed605dd5b53a86291111862553f2cb,342826340073053719,0.002856886167275450,$22283.71,22283.71
0xe65964de92d2d2540e73388b1037c964674d572b,335374140342849347,0.002794784502857080,$21799.32,21799.32
0xf99ccf26aad027bbd11f1ebf8392ba729a454015,332793671397577962,0.002773280594979820,$21631.59,21631.59
0xb8fc6fd16ab5f3b6652c6580c8b6208ddbd8b8a5,324196772524912593,0.002701639771040940,$21072.79,21072.79
0xe3939654deae5f54fd3e6b84b3a7f75f245062d8,293593101779937768,0.002446609181499480,$19083.55,19083.55
0x76bbd639c87aac623aad1c3b648e6187a9392dea,292465916469032533,0.002437215970575270,$19010.28,19010.28
0x2e15d7aa0650de1009710fdd45c3468d75ae1392,288222973764381841,0.002401858114703180,$18734.49,18734.49
0xbe79665b3dcecfe1dd821f8714bc9bfc441ef92a,272040281658766112,0.002267002347156380,$17682.62,17682.62
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,259240343975051933,0.002160336199792100,$16850.62,16850.62
0x391891af67e29d97e61e30c3036a0874f5da411e,255614779778976730,0.002130123164824810,$16614.96,16614.96
0xec89639d883a9ff2086c6deb0d766064b5bbea03,255606028562967609,0.00213005023802473,$16614.39,16614.39
0x36837e2c2893b2d34fa80694b70eb53677aa6d4a,254930501261745597,0.002124420843847880,$16570.48,16570.48
0xd35dc42c3812ace3d313f8303114b731d428a0fa,253544413988916030,0.0021128701165743,$16480.39,16480.39
0x69ef38d5a4ffb93579698b457622e8eb42cc4258,248828002402079089,0.002073566686683990,$16173.82,16173.82
0x89b8992aec28d34ed8579fde2b10b872dd26e617,247790223975762904,0.002064918533131360,$16106.36,16106.36
0xa1c6bf9a94e603c0c7e0559a9bbe6329137239f7,239876557004767846,0.001998971308373070,$15591.98,15591.98
0xd6e6a9d952f56e48462092bbadab346e95e987a4,239064587971270947,0.001992204899760590,$15539.20,15539.20
0x5ef4fd1d0f921550104e2a539eeed1f2092d54a1,222575757846533028,0.001854797982054440,$14467.42,14467.42
0xbe289902a13ae7ba22524cb366b3c3666c10f38f,215198766277929835,0.001793323052316080,$13987.92,13987.92
0xf49d2bcc52f0b46a98204721f98ce9d4e6730bed,200867709503960830,0.001673897579199670,$13056.40,13056.40
0x750c31d2290c456fcca1c659b6add80e7a88f881,195923063797328447,0.00163269219831107,$12735.00,12735.00
0x36f22f65a3476f42f6ae813da097dd471fcadeb1,191637813377580347,0.001596981778146500,$12456.46,12456.46
0x5993bad196c8786baaedb5a5868f338fe6ce4cc2,191063067346162291,0.001592192227884690,$12419.10,12419.10
0x18fd313190a430853db4fc3d2ef37594d7d757c2,179792715122445342,0.001498272626020380,$11686.53,11686.53
0x9b0c19000a8631c1f555bb365bde308384e4f2ff,173830979459814385,0.001448591495498450,$11299.01,11299.01
0xb9b8ef61b7851276b0239757a039d54a23804cbb,172323001805058678,0.001436025015042160,$11201.00,11201.00
