Account,Amount,Part,"$7,800,000.00",Total USDC
0x549c0421c69be943a2a60e76b19b4a801682cbd3,13450336229158033337,0.112086135242984000,$874271.85,200000
0x0eb4add4ba497357546da7f5d12d39587ca24606,10208756737739776478,0.085072972814498100,$663569.19,200000
0x896b94f4f27f12369698c302e2049cae86936bbb,7257637393185374617,0.060480311609878100,$471746.43,200000
0x325c8953add0fba9dea7f65fad6ea44774274e07,6238823363994355281,0.05199019469995300,$405523.52,200000
0x7e346f31a13d0a142885ff1a9494829947b48372,4963248441997462420,0.041360403683312200,$322611.15,200000
0x66f932ad6d530603ca9c95aaa9ed6348cbbf018e,4374920969260591167,0.036457674743838300,$284369.86,200000
0xa8d25c5a6f832a9423038c86529391aa7b7f91a0,4275202513747932381,0.035626687614566100,$277888.16,200000
0x376955c79b654e1f80733d127394d8008e953882,3573417986032169402,0.029778483216934700,$232272.17,200000
0x14a03ca8740a0044e63d3bb0432540d9509473d1,3571174953504792323,0.029759791279206600,$232126.37,200000
0x1c051112075feaee33bcdbe0984c2bb0db53cf47,3315407259024704942,0.027628393825205900,$215501.47,200000
0x4c46f9a3da4f7f2911e29dae334ebcf09101a669,2572532975582340733,0.021437774796519500,$167214.64,167214.64
0x0b1fdb90501286ebe6087b6660c3a48db9898fad,2274253494380242730,0.018952112453168700,$147826.48,147826.48
0xf50f1f8635823ac38a3f36af4478ffa8a2810424,2205139023406858653,0.018376158528390500,$143334.04,143334.04
0x7cd7a5a66d3cd2f13559d7f8a052fa6014e07d35,2158807234765737715,0.01799006028971450,$140322.47,140322.47
0xfffe1f5d42dc16af7c05d0aa24d2c649a869b367,1784298941032050594,0.014869157841933800,$115979.43,115979.43
0x90e1f595abc8d731cf82031c974add334b84b29e,1510487940838317340,0.012587399506986000,$98181.72,98181.72
0xb5fc9eef8f391051ecfc1c7d71d617181a56539b,1502867138273822196,0.012523892818948500,$97686.36,97686.36
0x3ef7f258816f6e2868566276647e3776616cbf4d,1478529821943737637,0.012321081849531100,$96104.44,96104.44
0x3ea4c7dc4aabb87267073729ff4d1b529469931c,1413664883104976519,0.01178054069254150,$91888.22,91888.22
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,1400882850144528627,0.011674023751204400,$91057.39,91057.39
0x648ad6f58367b42ba3efab45b220528e4f180437,1294116762901861790,0.010784306357515500,$84117.59,84117.59
0x06fb3fd7a77274aa9ac0d2b0bc58a9ac9332d4ba,1233320734260450930,0.010277672785503800,$80165.85,80165.85
0xe3939654deae5f54fd3e6b84b3a7f75f245062d8,1198874434568507955,0.009990620288070900,$77926.84,77926.84
0x3dd48ad861f0b77d1312f9c95a13e52871ca95e0,1176396371544661515,0.009803303096205510,$76465.76,76465.76
0xfc117cb4c186586f415cebaaa0644aa0ad530b8a,1169111773303899335,0.009742598110865830,$75992.27,75992.27
0xe519f4cd2803ba53a40e6377e82406e548418660,1155872471998680507,0.009632270599989000,$75131.71,75131.71
0xede81dbf541e36f47e8af619efa3fe701b606915,1150840411283224740,0.009590336760693540,$74804.63,74804.63
0x28d804bf2212e220bc2b7b6252993db8286df07f,1105341759332402500,0.00921118132777002,$71847.21,71847.21
0x6ef3f0ff397c3de367c6ca2cc3e6b6955e7993a5,1057052542708209783,0.008808771189235080,$68708.42,68708.42
0xd30391e21741c54c32987bcfca3d880e6d261cb0,1004074116321133028,0.008367284302676110,$65264.82,65264.82
0x2d7baa2b939d6f7b38a1cb582b46da2f71a42d1f,996829798080102295,0.008306914984000850,$64793.94,64793.94
0x9ed629bc305c5731d43de27cbbe8f77976893c2b,977318728924267795,0.008144322741035560,$63525.72,63525.72
0xd4f513a3a8db3ab5caa1a5b4c8ce812893b32760,900089891987538665,0.007500749099896160,$58505.84,58505.84
0x2f45724d7e384b38d5c97206e78470544304887f,874802452917833665,0.007290020440981950,$56862.16,56862.16
0xa4db6e848f1c4af89d2d4d4cc350acbc1f5f93e3,835942951864913578,0.006966191265540950,$54336.29,54336.29
0x1a31c94f97c649bc2a8adbceb54d1f4a075be4b1,798758859135357384,0.006656323826127980,$51919.33,51919.33
0xdf7632ea06b068d7a249f465379d0d549290b1cd,737642729981246708,0.006147022749843720,$47946.78,47946.78
0x68057266b9e20a60c55d7b50eb6f22117b1eb842,693123330276602901,0.005776027752305020,$45053.02,45053.02
0x5feddf388f844d00ed2774bea879c782405aecb1,635737376017073890,0.005297811466808950,$41322.93,41322.93
0x5993bad196c8786baaedb5a5868f338fe6ce4cc2,617896555791541111,0.005149137964929510,$40163.28,40163.28
0xd921ef794f9cf9e6be1ac5aa58d3f97035924663,608376126641318672,0.005069801055344320,$39544.45,39544.45
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,604338066635208608,0.005036150555293410,$39281.97,39281.97
0xf49d2bcc52f0b46a98204721f98ce9d4e6730bed,598775771415872064,0.004989798095132270,$38920.43,38920.43
0x91caab3c0e9111043c97f5b3f10f614a193a11c9,541476994287540350,0.004512308285729500,$35196.00,35196.00
0xbe289902a13ae7ba22524cb366b3c3666c10f38f,539045311481610071,0.00449204426234675,$35037.95,35037.95
0x33ebb62dc9ddbf6b8f3c0efdf5bccc2e7ac60211,507994931904419705,0.004233291099203500,$33019.67,33019.67
0x89b8992aec28d34ed8579fde2b10b872dd26e617,491039308135313051,0.004091994234460940,$31917.56,31917.56
0xc1fc118d52e4bc0a257f6744c77a611ad09f7777,485587402496317162,0.004046561687469310,$31563.18,31563.18
0x1ad015a04c3a21330a388f6a0995c7c092e66f93,482004110665376715,0.004016700922211470,$31330.27,31330.27
