Account,Amount,Part,"$7,800,000.00",Total USDC
0x36f22f65a3476f42f6ae813da097dd471fcadeb1,199409754336301267,0.00166174795280251,$12961.63,12961.63
0x4e9c104d24ca8aa27c3e1a5d9d3249e96c5bbd80,194620127161959170,0.001621834393016330,$12650.31,12650.31
0x4ce3a77085ff8f5e7d6ec24d2026856649473aa8,184024498028836307,0.001533537483573640,$11961.59,11961.59
0x7b6c0f34898878f2c9f0ca97d6e4494e15ccb1c6,170095613380393474,0.001417463444836610,$11056.21,11056.21
0x0e41c9b548cf0545377aeeb693a6006172f1af81,166968776745984419,0.001391406472883200,$10852.97,10852.97
0x4da2e85d64bece663ccab06e89b970b6b077f22f,165021884060094395,0.001375182367167450,$10726.42,10726.42
0x70ad81d18f2838b8650d88740d8e337032c9baac,152817782503538521,0.001273481520862820,$9933.16,9933.16
0x2b2f2a9302cdecdb7d4a2e7005336f7b345c1092,145886826603013437,0.001215723555025110,$9482.64,9482.64
0x13d39a115d03e25b8a1a078de9fbacd1d17adc70,144231197256644389,0.001201926643805370,$9375.03,9375.03
0xce7aa2d3c1f8b572b50238230f5d55a78db86087,141947807301100262,0.001182898394175840,$9226.61,9226.61
0x46a968f38f2ef98eb51cc8c8a2c641fd47042964,141114285950938761,0.001175952382924490,$9172.43,9172.43
0x14b889b25e70f60d8dc0aa5f10c83680add61351,126265825230693333,0.001052215210255780,$8207.28,8207.28
0x445d7413b47bf244cc738c01544dca7082689314,119517802054551773,0.000995981683787931,$7768.66,7768.66
0xa03d1648be58e6957c81c1c201236e189b6ee6af,118832776057779312,0.000990273133814827,$7724.13,7724.13
0xb22e5cadb0e487aa335ab99818f5e1b5c0b96260,118681876800245485,0.000989015640002045,$7714.32,7714.32
0xc102d21da143cb144bbdc4693553a850cf73ca5f,115731332464579718,0.000964427770538164,$7522.54,7522.54
0x1da158559f54d81b13dda7b9602cb5e09468ac09,113610058640900558,0.000946750488674171,$7384.65,7384.65
0xff6d6ae87b6431564737834bf733a13af4b734f4,110922656413155018,0.000924355470109625,$7209.97,7209.97
0x03f02d33cc02e006cb25f7c7bfe3115ee6b55283,105961733595666249,0.000883014446630552,$6887.51,6887.51
0x5bfa69517e17411beda54ea2d3672709f4867254,105769850529841644,0.000881415421082013,$6875.04,6875.04
0x3150e3d0b3f1dd76d753f67c28d053458d098053,101557525247452759,0.000846312710395439,$6601.24,6601.24
0xdebc0d58526d6c0db42032b43e2341a4458d6594,100997601926543678,0.000841646682721197,$6564.84,6564.84
0xeb85a4ffa6a194bcde4befd2eecabd4f65c3f8c4,95449895019129854,0.000795415791826082,$6204.24,6204.24
0x9525603189bc828b3af9de9454a79d9566e6e2fb,93058737114637790,0.000775489475955314,$6048.82,6048.82
0x82974862229a33eb52af17aa28af96a85d719e2c,91209535823920165,0.000760079465199334,$5928.62,5928.62
0x62a32ea089109e7b8f0fe29d839736ddb0c753f6,88410801130768913,0.00073675667608974,$5746.70,5746.70
0xf71eb59210eed86e727d76f434a2694238213deb,81389899923920310,0.000678249166032669,$5290.34,5290.34
