Address,Tokens To Receive (Post Split)
0xfBdD5C349D1686d7B15B27f47217c55fE93D2bfc,10887497435897400000000
0x9057e3B928E0b0b9cA2767a68538B3ADB290bc85,10256410256410300000000
0x9b0c19000a8631c1f555bb365bDE308384E4f2Ff,10256410256410300000000
0xD0C231A8DEC99bA56fC2F58C0785557FDAf4059E,10256410256410300000000
0x7b6C0F34898878f2C9F0cA97D6E4494E15Ccb1C6,10068625641025600000000
0xcE7aa2D3C1F8B572B50238230f5D55A78dB86087,10050706258461500000000
0x13DbAd5d734Da7be69e6d91Aa6650df7D41DBbd1,9547251282051280000000
0x268bc10A917438c7683823e195acD933aB43187a,9465128409230770000000
0xb22E5Cadb0E487Aa335ab99818f5E1B5C0B96260,9360143589743590000000
0xda248cC10b477C1144219183EC87b0621DAC37b3,9218389743589750000000
0x1fb36B64649E6D55E100B31D8113cc0F7DD82592,9069282051282050000000
0xFC5CC7832B2C0938Fe698D1bBd68D578A114bE09,8648020512820510000000
0x2D7Baa2B939d6f7B38A1CB582B46Da2f71a42d1F,11948717948717900000000
0x03f02D33cC02E006Cb25F7c7bFE3115EE6B55283,8214738461538460000000
0x3150e3D0b3F1Dd76d753f67c28D053458d098053,7867692307692310000000
0xEB85A4fFA6A194BCDE4Befd2eecAbd4F65C3F8C4,7533907692307690000000
0x278BA1Da4e4ff2541234F19487fd94A12061CA55,7494051282051280000000
0x9525603189Bc828B3af9de9454A79D9566E6e2fb,13352812820512800000000
0xC102d21DA143Cb144bbdc4693553a850CF73cA5f,7294902564102560000000
0x5f945C3682E1e0B95AD17d9a9836fF3f6C266EA9,6666666666666670000000
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,6665805128205130000000
0xfc436651F2fD4885AD645035a63A7Cd22E6A868c,6581948717948720000000
0xDd4a7cc4092515C130667C1bFd53Be0DE91062C5,6154871794871790000000
0x9AbbEd91faC6e71977258Fa8aa949c9bD874F4DE,6153847158974360000000
0x569d4C513673F8A611Cf4DDE30563498642a8579,5465271794871800000000
0x8Be8247EF3A329b06cF3ce3D5B8AD3cA3Ed642C0,5137715469743590000000
0x292b78a5AD6214971c0ec79Cb9d7eb3Cf20957Fb,5128205128205130000000
0x9a568bFeB8CB19e4bAfcB57ee69498D57D9591cA,4953589743589740000000
0xF7B10D603907658F690Da534E9b7dbC4dAB3E2D6,4898553846153850000000
0x98D539aE90481E921fd9fb826500F2aF06337555,4625169230769230000000
0x33d20F06b0021E9013F39D8F0dca1ff8BAe0A15c,4569353846153850000000
0xdebC0D58526D6c0db42032B43e2341A4458D6594,3897435897435900000000
0x883Ab2aE1BDDa0531078b27dd45600193aba1F34,3779210256410260000000
0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,3421958974358970000000
0x89E7d093d04d267BEd0639542823cc3286E2FAA7,3333323076923080000000
0x9E7943cEAc1f02B00E5f9d6E182F257efaA4653e,3174112820512820000000
0x0e41c9B548cf0545377AEEb693A6006172F1af81,3084471794871800000000
0x2B2F2A9302Cdecdb7D4A2e7005336f7B345C1092,2959169230769230000000
0x9b3f49A186670194f625199B822FCbDFD3Feacf7,2943682051282050000000
0x62A32ea089109e7b8f0fE29d839736DDB0C753F6,2778328205128210000000
0x237ec64cC27196F6a4C16AbdBb558B4C518400C2,2746543589743590000000
0x14b889B25e70f60D8Dc0aa5F10c83680add61351,2559487179487180000000
0xd16FDA96CB572DA89e4E39B04b99d99A8E3071fB,2553466666666670000000
0x528Bad3C22874E8a9bb49689aa876F76f631e07d,2318822430769230000000
0xA6B49397ce21bb62200e914F41BF371E5940Bb41,2316092307692310000000
0xF0F32C3c8DEf7b43caA14fEd5752AbC5381C8374,2285241025641030000000
0x605D50F68E737eBF7F6054D6f7860010FC80971F,2007805128205130000000
0x82974862229A33eB52aF17AA28aF96a85D719E2c,1977364102564100000000
0x0154d25120Ed20A516fE43991702e7463c5A6F6e,1942184615384620000000
0xdAF6f97E24b4071c475Ff2A46B258C207Ffb5392,1825641025641030000000
0xCa41730A221Aa83d2849Be36163DC301d0F053A8,1690820512820510000000
0xb28037800F282E7A96a79fD0b0B5c1EED64bAaD2,1499466666666670000000
0xD1a059Ae2eA4E6f4329dbd54a71A8ccF5d888d6B,1342738461538460000000
0x7E4F1A12269C55d23c50e91017876D8A0B2ef14C,1326410256410260000000
0x5BFA69517E17411bEDA54ea2d3672709F4867254,1205015384615380000000
0x2FeD28677601cF6cb669A3cE424119bb1BA69eC0,1056297435897440000000
0xd3B2a586180c9e306b38848D31e82F9E17D76F0C,1044890150769230000000
0x156d27E5248eFe83Ccf74D934FC396e03F7685be,5641025641025640000000
0x27e1317C497D423B6D7Ab98d006AFE5197D9591E,942964102564103000000
0x7566fd09eD636e132BDaaF4Fc8Ddd5eF1FBc5c14,941169230769231000000
0x9581F442075Eef408Bd5e560CCA77Fcf598f601e,921784615384616000000
0xDF77257cA98DfAEF7d66FaF85Cf5a212849bAf25,822861538461538000000
0xBD1f7d88C76A86C60d41bDDD4819fAe404e7151E,822358974358974000000
0xbbe21151c726F9EEc42516524f58D0057261CC8a,800106521025641000000
0xf695d9975Efd23d809d8857438c1aB6B3D09650f,771815384615385000000
0x0206Bc8FC7C1e8635D14F73c0fdb035493F2FD84,680564102564103000000
0x922e1ce088bB4Fc0295d992070B65088307957e2,602482051282051000000
0x6ab791754298D6D6d7C182DC1572126B4eD24897,553189743589744000000
0x18f768455E7f5fB09fC491fd86bcc282BcDD5973,525651282051282000000
0xF71EB59210eed86E727d76f434A2694238213dEB,520738461538462000000
0x8F844D3C0C06526387fA01d165Fba8C3984Efdac,461538461538462000000
0x3195c3F94154364E897711e501e104f40D8e23fb,416533333333333000000
0x3bd5e344Ac629C9f232F921bAfDeEEc312deAC9b,376758974358974000000
0x3D16451A4B73e778BFEC126025bA79716a17E32d,338358974358974000000
0xa8de8B84c4F4aab4BD90447872c48b6522dEF7DC,198482051282051000000
0xaF34FeaC2Fb7449b745bC79046aD0CECd8bC159d,193610256410256000000
0xe734F1270098fC0E3A978da32887ccf0339ba99a,158461538461538000000
0xA178c15dd95553da5b79c1BA0bDE1659Fa2e76c8,125538461538462000000
0x06DD6783C388b7B3080a8E0D3A3bFB8C07A6D1dF,6502564102564100000
0xF6E2c94A609Ca303964b65EC991A1A0d2991B961,10256410256410300000000
0x3dD48AD861F0B77D1312F9C95A13e52871Ca95e0,30112574358974300000000
0x7cd7A5a66d3cd2F13559d7F8a052Fa6014e07d35,59487764102564100000000
